Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Technical Rating 4 hours,Industry
REX,REX American Resources Corporation,43.85,USD,-0.6344890097439408,135949,1.0763727515362134,770319588.9999999,USD,11.453571894998042,3.8285,USD,37.96893581750693,0,Process industries,Strong buy,Buy,Chemicals: specialty
FUJHY,Subaru Corporation ,8.87,USD,0.5668934240362691,1926969,4.954043883714096,12943501414.210743,USD,5.012715456343599,1.7695,USD,37.85447179806793,3.87133,Consumer durables,Neutral,Buy,Motor vehicles
HOEGF,HOEGH AUTOLINER ASA,9.85,USD,0,11000,1.6638431752178122,1879082037.8492908,USD,2.74628299814372,3.5866660524999996,USD,37.75516061825335,33.2384,Transportation,Buy,Sell,Marine shipping
BSDGF,Bosideng International Holdings Ltd.,0.4263,USD,-13.617021276595743,3152,0.32102663339613996,4905839820.953076,USD,10.43334046266028,0.040859397,USD,37.72126059350314,7.14286,Consumer non-durables,Strong buy,Sell,Apparel/Footwear
IBDRY,Iberdrola S.A.,56.51,USD,-0.7769632588560688,104123,0.9211530890737866,88132750102.08713,USD,12.13311862587225,4.6575,USD,37.70622671633846,3.26083,Utilities,Buy,Buy,Electric utilities
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,14.81,USD,0.6798096532970744,834058,0.379039414585704,96215864315.21904,USD,12.641912078531798,1.1715,USD,37.43547630220553,2.56301,Finance,Buy,Buy,Major banks
ACNDF,Ascendas India Trust,0.8399,USD,-0.011904761904760594,8057,0.15516819677877217,1128582235.5075228,USD,8.390761949917572,0.10009818,USD,37.216338444974774,6.17431,Finance,Strong buy,Buy,Real estate investment trusts
BSDGY,Bosideng International Holdings Ltd.,24.7,USD,5.645851154833192,231,0.24537922243467178,5383148229.93684,USD,12.150728059818968,2.0328,USD,36.96267349413825,6.58409,Consumer non-durables,Strong buy,Neutral,Apparel/Footwear
HIG,"Hartford Financial Services Group, Inc. (The)",109.42,USD,0.3669051550174332,1229202,1.2929483624065672,31719871727,USD,10.958766913377467,9.9847,USD,36.94179284617073,1.76385,Finance,Buy,Sell,Multi-line insurance
SBLK,Star Bulk Carriers Corp.,14.86,USD,0.269905533063422,1916808,1.1077838947341532,1765743948.9999998,USD,5.023155190481019,2.9583,USD,36.736769124104455,16.8237,Transportation,Buy,Sell,Marine shipping
AFMJF,Alphamin Resources Corp.,0.772,USD,0,165985,0.6405133522443339,985234470.8464283,USD,13.513379865221543,0.05712856499999999,USD,36.39681559274654,8.03571,Non-energy minerals,Strong buy,Neutral,Other metals/Minerals
GASS,"StealthGas, Inc.",5.79,USD,-1.1945392491467623,90266,0.4123173563745526,212731963,USD,3.168956269498112,1.8271,USD,36.310056699492684,0,Transportation,Strong buy,Buy,Marine shipping
SB,"Safe Bulkers, Inc",3.45,USD,0.8771929824561476,590969,0.876082392829564,368357968,USD,3.847011596788582,0.8968,USD,36.29179331306991,5.7971,Transportation,Buy,Sell,Marine shipping
DAL,"Delta Air Lines, Inc.",61.42,USD,0.39228506047728345,9062399,1.3302348241083364,39633173193.00001,USD,8.530200130550115,7.2003,USD,36.11410423637498,0.814067,Transportation,Strong buy,Buy,Airlines
FNCTF,Orange,10,USD,-0.39840637450198363,175,0.03421911968870378,26588937840.93275,USD,11.227927970776127,0.8906362800000001,USD,36.06784772352931,7.49532,Communications,Buy,Sell,Wireless telecommunications
MLR,"Miller Industries, Inc.",65.13,USD,-0.3061380682687936,68391,0.9923834702876986,745041054,USD,10.804040940231905,6.0283,USD,36.05750784300449,1.1669,Consumer durables,Buy,Sell,Motor vehicles
CZFS,"Citizens Financial Services, Inc.",60.3,USD,0.7855590840715342,12398,1.269727476624029,287011707,USD,10.4629372570794,5.7632,USD,36.04324528480042,3.23433,Finance,Strong buy,Sell,Regional banks
TIMB,TIM S.A.,11.97,USD,-1.1560693641618398,470321,1.2035876211307075,5763271946.493,USD,9.369129618033814,1.2776,USD,35.943817833581626,3.42043,Communications,Buy,Neutral,Wireless telecommunications
KNNGF,KION GROUP AG,32.65,USD,-10.042705606832905,1000,0.43380183931979877,4281223566.86223,USD,11.576458870727372,2.820378871,USD,35.57901123137125,2.0432,Producer manufacturing,Buy,Strong sell,Industrial machinery
IITSF,Intesa Sanpaolo S.p.A.,4.22,USD,6.56565656565656,368,0.07234979553318654,74953710102.9637,USD,7.9692139671178435,0.5295377960000001,USD,35.42556861591426,8.11492,Finance,Strong buy,Strong buy,Major banks
MAKSF,Marks & Spencer Group Plc,4.6195,USD,2.6555555555555643,800,0.033470562640157984,9329875665.865314,USD,14.281135348250718,0.32346868,USD,35.37696593397409,0.796178,Retail trade,Buy,Neutral,Department stores
MZHOF,Mizuho Financial Group Inc.,24.4,USD,-4.500978473581221,26,0.011461823311585257,61845481445.31154,USD,10.719016172546242,2.2763283128999996,USD,35.286494984453924,2.99327,Finance,Buy,Buy,Major banks
IX,Orix Corp,103.51,USD,-3.252640433685382,21764,0.7014535726947497,23509114996.127033,USD,8.937375342134574,11.5817,USD,35.11870734410545,3.72635,Finance,Buy,Strong sell,Finance/Rental/Leasing
BGAOY,Proximus Group,1.01,USD,-8.181818181818189,4901,0.21340242097012976,1677961926.6480002,USD,3.2371794871794872,0.312,USD,34.889753566796365,13.9472,Communications,Neutral,Sell,Major telecommunications
SLRC,SLR Investment Corp.,16.31,USD,-0.06127450980393114,199912,1.1089956952025917,889786053,USD,9.194948697711128,1.7738,USD,34.84871521970504,10.0552,Finance,Neutral,Buy,Investment managers
CIXPF,Caixabank SA,5.455,USD,3.904761904761906,191,0.026000898460365646,39100522494.115105,USD,6.603805388196504,0.8260388790000001,USD,34.61278210918017,8.06569,Finance,Buy,Neutral,Regional banks
TCBX,"Third Coast Bancshares, Inc.",32.27,USD,-0.0928792569659258,67642,1.2095516708628977,441424688,USD,14.12748445845373,2.2842,USD,34.5071251913791,0,Finance,Buy,Sell,Savings banks
ICAGY,International Consolidated Airlines Group SA,7.6,USD,0.13175230566534632,80308,0.7847160744262763,18386171061.48,USD,7.016248153618907,1.0832,USD,34.35871992061522,0.709006,Transportation,Buy,Buy,Airlines
GRBK,"Green Brick Partners, Inc.",55.47,USD,1.667888563049847,284676,0.9932618580412494,2468317717.9999995,USD,7.199688493737426,7.7045,USD,34.18032358626936,0,Consumer durables,Neutral,Sell,Homebuilding
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,10.17,USD,-0.0982318271119822,1102188,0.8381316805742124,58732193093.45136,USD,5.661953011914041,1.7962,USD,33.82506332886306,5.84675,Finance,Buy,Buy,Major banks
HII,"Huntington Ingalls Industries, Inc.",189.66,USD,0.32266596138586895,342127,0.8898663381105579,7421272428,USD,10.708055036444424,17.7119,USD,33.50644847626011,2.76811,Electronic technology,Neutral,Sell,Aerospace & defense
BLIDF,Boliden AB,27.6,USD,-7.93862575050033,500,0.2899727425621992,7548907990.8624525,USD,8.868029455738187,3.1123036,USD,33.43657023676542,2.32342,Non-energy minerals,Neutral,Strong sell,Other metals/Minerals
MXCHF,Orbia Advance Corp S A B,0.73,USD,-3.8588173317529297,1000,0.34562610168319907,1436639980.721831,USD,11.0575565875457,0.06601820159999999,USD,33.40416407728501,11.1274,Producer manufacturing,Buy,Strong sell,Miscellaneous manufacturing
AEOXF,Aeroports de Paris ADP,114.05,USD,1.368767220691487,5,0.013850415512465374,11284346724.85542,USD,13.69553830915063,8.327529552000001,USD,33.065256249688055,3.54032,Transportation,Buy,Sell,Other transportation
BCDRF,Banco Santander S.A.,4.35,USD,-7.446808510638308,1245,0.1790413736571897,65789628954.98413,USD,5.279617012940766,0.8239234,USD,33.00784493149572,3.45661,Finance,Buy,Strong sell,Major banks
DOLE,Dole plc,12.73,USD,0.315208825847131,412410,0.846201654156906,1208738961,USD,6.695418923894178,1.9013,USD,32.828000558893386,2.51375,Distribution services,Buy,Sell,Food distributors
DNGDF,Dynacor Group Inc.,4.115,USD,2.236024844720493,3530,1.4212094371527497,149651464.35570472,USD,8.130781054485835,0.50610144,USD,32.67935347876097,2.34966,Non-energy minerals,Strong buy,Buy,Other metals/Minerals
OGFGF,Origin Energy Ltd.,6.6,USD,0.6097560975609762,1400,0.8000914390216025,11330229345.599998,USD,12.255217352407355,0.5385461399999999,USD,32.67068709398484,5,Utilities,Buy,Buy,Electric utilities
ANNSF,Aena SME S.A.,210.625,USD,0.8692112446721889,9,0.6040268456375839,31593749518.1506,USD,14.615030206726765,14.411533676,USD,32.66655816151231,3.0992,Transportation,Buy,Buy,Other transportation
NCDL,Nuveen Churchill Direct Lending Corp.,16.44,USD,0.18281535648995206,513835,1.8581998604094416,895741968,USD,7.131083542986033,2.3054,USD,32.33453877504163,10.9489,Finance,Buy,Sell,Financial conglomerates
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",36.75,USD,0.1908396946564893,171951,1.3060905469825268,1258153977.0000002,USD,6.714413607878245,5.4733,USD,32.250036244140524,5.44218,Finance,Strong buy,Buy,Major banks
KRYPF,Kerry Properties Ltd.,1.73,USD,-7.188841201716745,500,0.11050456383848653,2510759029.349462,USD,8.554354278078067,0.20223618799999998,USD,31.70190428692373,9.07258,Finance,Strong buy,Strong sell,Real estate development
GM,General Motors Company,51,USD,-1.8853405155829106,7243663,0.9792012255346465,56079387085.00001,USD,5.444413604628819,9.3674,USD,31.694081259665392,0.941176,Consumer durables,Buy,Sell,Motor vehicles
